DateTime,AddedIPs,RemovedIPs
1527761564,0,1
1527763501,0,1
1527765391,0,1
1527771170,1,0
1527773068,0,1
1527776904,0,1
1527778911,1,1
1527784632,0,1
1527794184,0,1
1527799961,1,1
1527809826,0,1
1527811717,0,1
1527821334,1,0
1527823231,1,0
1527836677,1,0
1527857842,0,1
1527865475,0,1
1527869352,1,0
1527873093,1,0
1527875069,1,0
1527876979,1,0
1527886581,0,1
1527894177,1,0
1527900308,1,0
1527904148,1,0
1527907994,0,2
1527911825,2,0
1527916446,4,0
1527918686,1,0
1527921142,0,0
1527923332,1,1
1527926033,15,0
1527928525,0,0
1527930868,0,0
1527933080,0,0
1527935222,2,0
1527937879,0,0
1527940240,0,0
1527942651,0,0
1527944975,0,0
1527947217,0,0
1527949075,0,0
1527951399,0,0
1527953728,0,0
1527956414,0,1
1527961203,0,2
1527965972,0,1
1527968427,1,0
1527970747,2,0
1527972888,0,0
1527974865,0,0
1527977294,1,0
1527984244,0,1
1527986649,0,1
1527991408,1,1
1527993829,0,0
1527996229,0,0
1528005412,1,7
1528009330,1,0
1528011144,0,1
1528016903,1,0
1528020747,0,2
1528043775,3,0
1528053397,1,0
1528055338,0,1
1528057225,1,2
1528061067,1,0
1528064919,0,1
1528072575,1,0
1528074539,0,1
1528087946,0,1
1528095705,0,1
1528101447,1,0
1528103301,0,1
1528107152,1,0
1528114836,1,0
1528130190,0,3
1528132137,1,0
1528139808,0,1
1528143636,0,1
1528147480,0,1
1528157068,1,0
1528159001,0,1
1528160910,1,0
1528170541,1,0
1528172435,1,0
1528182271,1,0
1528184183,3,0
1528186106,1,0
1528188022,4,1
1528189944,1,0
1528191870,2,0
1528193782,3,1
1528195700,1,0
1528197630,4,0
1528199547,3,0
1528201459,3,1
1528203384,2,0
1528207305,2,0
1528211079,1,0
1528219219,0,1
1528225004,1,0
1528236750,1,0
1528242503,0,1
1528246339,0,1
1528257868,0,2
1528267776,0,1
1528269626,1,1
1528271563,0,3
1528273470,0,1
1528275394,1,3
1528277310,1,1
1528279299,0,3
1528281160,0,2
1528283081,0,1
1528285001,0,5
1528286925,0,3
1528288827,0,4
1528292686,1,1
1528294584,3,1
1528298431,0,1
1528302279,1,0
1528304181,2,0
1528306278,1,0
1528308295,3,0
1528311718,13,1
1528313593,4,0
1528320506,17,0
1528324427,2,1
1528326787,3,0
1528331828,5,0
1528335443,15,0
1528337316,2,0
1528339241,4,0
1528341180,5,0
1528343189,2,0
1528345009,3,0
1528346909,2,0
1528348822,1,0
1528352976,3,0
1528354906,3,0
1528356749,1,1
1528358673,1,0
1528360579,1,0
1528362504,0,1
1528364426,3,1
1528366342,1,0
1528375965,2,0
1528379780,0,4
1528383699,1,0
1528387469,1,0
1528389390,0,2
1528391322,0,2
1528393228,0,1
1528395159,1,2
1528397076,0,10
1528398983,0,5
1528400924,0,5
1528402826,0,7
1528404744,0,4
1528406685,1,3
1528408588,0,1
1528411114,0,1
1528413140,0,3
1528416995,0,4
1528418899,0,3
1528420832,0,11
1528422760,0,3
1528424669,0,1
1528426635,0,6
1528428508,0,5
1528430514,0,1
1528432345,0,2
1528434261,0,3
1528438097,1,1
1528440023,0,4
1528441960,0,2
1528443860,0,1
1528445775,0,1
1528449619,0,1
1528451455,2,2
1528453462,2,1
1528461142,0,1
1528463063,0,1
1528469277,1,0
1528471215,0,1
1528473154,0,1
1528480904,0,1
1528488751,1,0
1528492601,0,1
1528498508,1,0
1528523547,0,1
1528529302,1,0
1528531298,1,0
1528533176,3,0
1528537012,0,1
1528538912,0,2
1528540833,0,1
1528552383,3,0
1528556201,1,1
1528575380,0,1
1528586029,0,1
1528607080,1,0
1528609043,1,0
1528616701,0,2
1528618585,1,1
1528620534,0,2
1528622460,1,0
1528626272,1,0
1528633959,1,0
1528635892,3,0
1528639996,0,3
1528643894,1,1
1528645725,2,0
1528647648,2,0
1528651485,2,0
1528653397,1,0
1528655360,1,0
1528657306,2,0
1528663130,1,0
1528666382,4,0
1528668675,1,0
1528672488,3,0
1528678234,1,0
1528682087,1,0
1528691649,4,0
1528693465,0,1
1528695288,3,1
1528701145,3,0
1528703078,1,0
1528704976,0,1
1528709065,2,1
1528710975,2,0
1528712913,1,1
1528716749,1,0
1528718685,6,0
1528720579,0,1
1528722524,0,3
1528724416,2,0
1528726348,2,0
1528730193,0,1
1528732206,1,2
1528734468,0,2
1528736592,1,0
1528738614,5,2
1528740616,0,1
1528742707,2,2
1528744598,0,1
1528746429,2,0
1528748418,1,0
1528750335,1,3
1528752264,1,2
1528754191,1,1
1528756102,1,0
1528760055,1,3
1528763777,0,1
1528765712,4,0
1528767626,1,0
1528769541,1,1
1528773373,1,0
1528775296,1,0
1528777234,1,4
1528782993,2,3
1528786907,2,3
1528788756,1,0
1528790662,1,1
1528792576,4,0
1528794524,0,2
1528798343,0,3
1528802177,1,1
1528804103,0,6
1528809858,1,0
1528811792,0,4
1528817563,1,1
1528823779,1,1
1528825711,0,5
1528827632,2,0
1528829536,0,2
1528831459,0,1
1528833390,1,1
1528835294,0,2
1528838914,0,1
1528840949,0,1
1528842972,0,1
1528844899,0,1
1528852571,0,4
1528854493,0,1
1528856427,1,1
1528858349,0,1
1528862186,0,1
1528864094,0,1
1528869872,1,2
1528873726,0,2
1528875622,0,1
1528877543,0,4
1528879474,1,1
1528881387,1,0
1528887146,0,1
1528889059,1,0
1528894905,1,1
1528896760,1,0
1528900578,5,0
1528902508,9,0
1528904424,5,1
1528906357,8,0
1528908267,10,0
1528910184,10,1
1528912116,7,0
1528914017,11,2
1528915959,6,0
1528918915,15,0
1528920754,2,1
1528922662,4,0
1528924593,4,0
1528926500,7,0
1528928439,5,0
1528931674,12,0
1528933476,2,0
1528935399,2,0
1528937431,7,0
1528939235,8,0
1528941145,7,0
1528943063,3,1
1528946186,7,0
1528948091,7,0
1528950012,9,0
1528951947,2,0
1528953855,4,0
1528955771,10,1
1528957710,4,0
1528959752,8,0
1528961775,7,0
1528963703,5,0
1528965634,6,1
1528967535,1,0
1528969471,0,1
1528977135,1,1
1528980982,1,1
1528982916,0,1
1528986756,1,3
1528988665,1,11
1528990578,3,5
1528992538,2,8
1528994419,0,8
1528996344,0,10
1528998274,0,9
1529000186,0,8
1529002099,0,6
1529004030,0,12
1529005942,0,6
1529007856,0,5
1529009789,0,1
1529011859,1,7
1529013744,2,5
1529016831,0,11
1529018672,1,5
1529020575,0,2
1529022510,2,6
1529024503,0,5
1529026339,0,10
1529028282,0,4
1529030179,0,3
1529032102,0,4
1529034031,0,8
1529035946,0,9
1529037860,0,3
1529039793,0,4
1529041705,0,7
1529043635,1,6
1529045554,0,7
1529047470,0,6
1529049391,2,6
1529051305,0,8
1529053303,1,1
1529057069,1,0
1529058980,2,0
1529060921,1,0
1529062819,2,1
1529067858,1,1
1529069785,3,0
1529071713,2,0
1529073620,2,1
1529075551,1,1
1529077471,0,3
1529079378,0,2
1529081308,1,0
1529083234,2,0
1529087080,2,0
1529088982,5,0
1529091784,2,0
1529093884,2,0
1529096015,1,0
1529097844,0,1
1529099865,1,1
1529101740,1,1
1529103761,1,0
1529105579,4,1
1529107460,2,1
1529109398,1,1
1529111323,4,0
1529115150,1,0
1529117100,2,0
1529118988,2,0
1529122834,4,0
1529124780,1,0
1529128612,1,0
1529130758,2,1
1529132662,1,0
1529134587,2,2
1529136547,2,0
1529138422,0,1
1529142293,2,0
1529144199,2,3
1529146100,5,0
1529148054,3,2
1529149944,2,1
1529151880,2,0
1529153798,4,1
1529155715,2,3
1529157700,1,2
1529159583,2,0
1529161466,2,3
1529165338,3,0
1529167258,2,1
1529169142,4,2
1529171245,2,0
1529173226,3,2
1529175134,1,5
1529177056,2,1
1529178986,5,3
1529180895,2,0
1529182904,1,1
1529184751,4,1
1529186675,2,0
1529189077,3,1
1529190983,0,2
1529192905,3,3
1529194844,1,2
1529196735,6,1
1529198658,2,4
1529200612,2,1
1529202509,3,1
1529204502,6,2
1529206361,1,1
1529208268,3,1
1529210181,2,4
1529212120,2,0
1529214040,2,1
1529215944,6,0
1529217881,2,3
1529219784,2,2
1529221704,4,0
1529223640,2,2
1529225543,3,0
1529227472,1,0
1529229395,5,3
1529231305,5,2
1529233302,4,7
1529235159,2,1
1529237075,1,2
1529238983,1,2
1529240919,5,4
1529242823,0,2
1529244749,2,2
1529246683,1,1
1529248585,1,1
1529250502,2,1
1529252441,6,2
1529254347,4,4
1529256267,1,2
1529258204,5,3
1529260102,1,2
1529262096,2,1
1529263961,0,2
1529265879,0,6
1529267780,0,1
1529269719,0,1
1529271629,0,4
1529273705,0,3
1529275715,0,2
1529279532,1,3
1529281469,0,1
1529283372,0,6
1529285293,5,3
1529287293,2,4
1529289139,0,1
1529291057,0,5
1529292985,0,1
1529294895,0,3
1529296812,0,2
1529298755,0,2
1529300655,0,2
1529302570,0,6
1529304505,0,2
1529306412,0,3
1529308329,1,5
1529310269,0,1
1529312169,1,2
1529314092,1,1
1529316096,0,6
